x (km),Airy anom (mGal),Bouguer anom (mGal),Geoid anom (mGal)
73.74,-3.537,-3.561,0.28
127.94,-4.957,-4.776,0.331
178.99,-7.785,-7.758,0.903
225.63,-13.608,-13.694,1.852
261.35,-24.128,-24.25,4.82
301.19,53.949,-54.994,23.556
319.19,44.917,-67.1,31.711
352.02,28.63,-83.105,37.333
400.19,21.073,-90.584,39.87
449.42,18.993,-91.993,39.671
501.83,21.647,-92.001,39.429
623.53,-33.766,-33.908,7.583
648.74,-20.907,-20.92,3.594
684.87,-10.752,-10.832,1.092
735.92,-6.356,-6.066,0.155
893.49,2.545,2.115,-2.084
942.23,8.292,7.826,-3.104
978.36,18.976,18.314,-6.261
1018.49,-28.902,41.331,-18.366
1058.73,-16.785,52.959,-22.936
1109.55,-12.058,56.572,-24.168
1163.55,-10.883,57.201,-23.703
1214.37,-13.852,54.824,-22.948
1256.72,-20.372,49.666,-22.222
1320.48,20.144,19.716,-5.481
1352.17,7.785,8.009,-3.209
1465.72,-3.424,-3.187,0.309
1517.24,-6.277,-6.212,1.636
1567.27,-10.341,-10.274,3.535
1612.6,-17.67,-17.158,6.636
1651.68,-27.78,-27.189,15.197
1731.51,56.109,-56.081,59.763
1783.54,43.606,-68.379,71.046
1834.89,39.308,-73.17,73.66
1880.9,40.605,-72.493,73.452
1926.26,46.937,-65.002,68.849
1960.94,55.719,-56.466,61.771
2021.63,-35.316,-36.504,19.589
2051.66,-23.2,-24.513,10.033
2089.67,-13.51,-13.713,3.585
2135.7,-6.059,-6.553,-0.91
2213.05,3.251,2.465,-7.156
2263.09,7.531,7.333,-11.368
2309.78,13.49,12.993,-17.273
2358.46,20.381,19.513,-29.346
2403.82,-49.369,22.706,-55.77
2474.52,-43.788,25.357,-81.118
2527.88,-40.813,27.323,-87.201
2583.89,-41.756,27.44,-86.914
2635.92,-45.681,23.876,-79.624
2707.28,21.812,21.406,-46.314
2754.65,21.43,20.75,-26.765
2802,15.828,15.528,-17.998
2852.03,11.157,10.821,-13.679
2900.04,8.164,7.858,-11.516
2952.06,5.918,5.412,-10.167
3004.09,2.925,4.198,-9.573
3054.79,2.17,1.765,-9.897
3153.5,-15.19,-15.001,-11.259
3174.85,-29.739,-28.631,-9.852
3252.2,18.359,-92.714,6.671
3307.57,8.093,-103.996,7.68
3362.93,7.523,-106.68,6.679
3404.94,8.821,-105.086,8.289
3524.34,-33.53,-32.386,-10.158
3541.01,-18.615,-20.293,-10.361
3622.38,-1.287,-1.778,-8.794
3673.73,-0.177,-0.604,-8.198
3725.76,0.0004,-0.085,-7.183
3777.11,1.11,0.494,-6.903
3829.82,0.542,0.488,-7.062
3883.83,0.905,0.478,-7.067
3927.18,0.711,0.471,-6.357
3965.21,1.637,0.464,-6.197
